_id,name,p_id,pos,number,team,games,points,goals,assists,pv
ObjectId("5db5c95e3f0b6f443efe2256"),Joel Armia,8476469,F,40,Montréal Canadiens,21,12,7,5,2
ObjectId("5db5c95e3f0b6f443efe2257"),Phillip Danault,8476479,F,24,Montréal Canadiens,22,17,6,11,2
ObjectId("5db5c95e3f0b6f443efe2258"),Artturi Lehkonen,8477476,F,62,Montréal Canadiens,23,11,5,6,1
ObjectId("5db5c95e3f0b6f443efe2259"),Jonathan Drouin,8477494,F,92,Montréal Canadiens,17,15,7,8,2
ObjectId("5db5c95e3f0b6f443efe225a"),Max Domi,8477503,F,13,Montréal Canadiens,23,16,6,10,2
ObjectId("5db5c95e3f0b6f443efe225b"),Nick Suzuki,8480018,F,14,Montréal Canadiens,23,12,6,6,1
ObjectId("5db5c95e3f0b6f443efe225c"),Jesperi Kotkaniemi,8480829,F,15,Montréal Canadiens,10,3,2,1,1
ObjectId("5db5c95e3f0b6f443efe225d"),Carey Price,8471679,G,31,Montréal Canadiens,16,21,0,0,2
ObjectId("5db5c95e3f0b6f443efe225e"),Keith Kinkaid,8476234,G,37,Montréal Canadiens,3,2,0,0,1
ObjectId("5db5c95e3f0b6f443efe225f"),Dan Hamhuis,8469465,D,5,Nashville Predators,18,2,0,2,1
ObjectId("5db5c95e3f0b6f443efe2260"),Yannick Weber,8474134,D,7,Nashville Predators,9,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe2261"),Roman Josi,8474600,D,59,Nashville Predators,22,22,7,15,2
ObjectId("5db5c95e3f0b6f443efe2262"),Ryan Ellis,8475176,D,4,Nashville Predators,22,18,3,15,2
ObjectId("5db5c95e3f0b6f443efe2263"),Mattias Ekholm,8475218,D,14,Nashville Predators,22,11,4,7,1
ObjectId("5db5c95e3f0b6f443efe2264"),Matt Irwin,8475625,D,52,Nashville Predators,6,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe2265"),Dante Fabbro,8479371,D,57,Nashville Predators,23,6,2,4,1
ObjectId("5db5c95e3f0b6f443efe2266"),Nick Bonino,8474009,F,13,Nashville Predators,23,15,10,5,2
ObjectId("5db5c95e3f0b6f443efe2267"),Kyle Turris,8474068,F,8,Nashville Predators,19,9,4,5,1
ObjectId("5db5c95e3f0b6f443efe2268"),Matt Duchene,8475168,F,95,Nashville Predators,20,17,6,11,2
ObjectId("5db5c95e3f0b6f443efe2269"),Craig Smith,8475225,F,15,Nashville Predators,21,7,2,5,1
ObjectId("5db5c95e3f0b6f443efe226a"),Calle Jarnkrok,8475714,F,19,Nashville Predators,23,16,8,8,2
ObjectId("5db5c95e3f0b6f443efe226b"),Austin Watson,8475766,F,51,Nashville Predators,22,8,3,5,1
ObjectId("5db5c95e3f0b6f443efe226c"),Ryan Johansen,8475793,F,92,Nashville Predators,23,16,4,12,2
ObjectId("5db5c95e3f0b6f443efe226d"),Mikael Granlund,8475798,F,64,Nashville Predators,22,9,3,6,1
ObjectId("5db5c95e3f0b6f443efe226e"),Rocco Grimaldi,8476428,F,23,Nashville Predators,20,10,1,9,1
ObjectId("5db5c95e3f0b6f443efe226f"),Miikka Salomaki,8476447,F,20,Nashville Predators,3,1,1,0,1
ObjectId("5db5c95e3f0b6f443efe2270"),Filip Forsberg,8476887,F,9,Nashville Predators,17,17,10,7,3
ObjectId("5db5c95e3f0b6f443efe2271"),Colton Sissons,8476925,F,10,Nashville Predators,22,12,6,6,1
ObjectId("5db5c95e3f0b6f443efe2272"),Viktor Arvidsson,8478042,F,33,Nashville Predators,22,15,6,9,2
ObjectId("5db5c95e3f0b6f443efe2273"),Pekka Rinne,8471469,G,35,Nashville Predators,13,20,0,2,2
ObjectId("5db5c95e3f0b6f443efe2274"),Juuse Saros,8477424,G,74,Nashville Predators,12,6,0,0,1
ObjectId("5db5c95e3f0b6f443efe2275"),Will Butcher,8477355,D,8,New Jersey Devils,20,8,3,5,1
ObjectId("5db5c95e3f0b6f443efe2276"),Andy Greene,8472382,D,6,New Jersey Devils,8,4,0,4,1
ObjectId("5db5c95e3f0b6f443efe2277"),P.K. Subban,8474056,D,76,New Jersey Devils,12,5,2,3,1
ObjectId("5db5c95e3f0b6f443efe2278"),Sami Vatanen,8475222,D,45,New Jersey Devils,18,9,4,5,1
ObjectId("5db5c95e3f0b6f443efe2279"),Matt Tennyson,8476807,D,7,New Jersey Devils,4,3,0,3,1
ObjectId("5db5c95e3f0b6f443efe227a"),Damon Severson,8476923,D,28,New Jersey Devils,16,4,2,2,1
ObjectId("5db5c95e3f0b6f443efe227b"),Connor Carrick,8476941,D,5,New Jersey Devils,4,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe227c"),Mirco Mueller,8477509,D,25,New Jersey Devils,6,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe227d"),Travis Zajac,8471233,F,19,New Jersey Devils,19,6,2,4,1
ObjectId("5db5c95e3f0b6f443efe227e"),Wayne Simmonds,8474190,F,17,New Jersey Devils,19,9,4,5,1
ObjectId("5db5c95e3f0b6f443efe227f"),Kyle Palmieri,8475151,F,21,New Jersey Devils,22,14,8,6,2
ObjectId("5db5c95e3f0b6f443efe2280"),Taylor Hall,8475791,F,9,New Jersey Devils,22,20,4,16,2
ObjectId("5db5c95e3f0b6f443efe2281"),Blake Coleman,8476399,F,20,New Jersey Devils,22,10,7,3,1
ObjectId("5db5c95e3f0b6f443efe2282"),Nikita Gusev,8477038,F,97,New Jersey Devils,17,8,5,3,1
ObjectId("5db5c95e3f0b6f443efe2283"),John Hayden,8477401,F,15,New Jersey Devils,10,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe2284"),Miles Wood,8477425,F,44,New Jersey Devils,22,6,2,4,1
ObjectId("5db5c95e3f0b6f443efe2285"),Pavel Zacha,8478401,F,37,New Jersey Devils,18,9,2,7,1
ObjectId("5db5c95e3f0b6f443efe2286"),Kevin Rooney,8479291,F,16,New Jersey Devils,9,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe2287"),Jesper Bratt,8479407,F,63,New Jersey Devils,15,7,4,3,1
ObjectId("5db5c95e3f0b6f443efe2288"),Nico Hischier,8480002,F,13,New Jersey Devils,20,12,3,9,1
ObjectId("5db5c95e3f0b6f443efe2289"),Jesper Boqvist,8480003,F,90,New Jersey Devils,2,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe228a"),Jack Hughes,8481559,F,86,New Jersey Devils,19,10,4,6,1
ObjectId("5db5c95e3f0b6f443efe228b"),Cory Schneider,8471239,G,35,New Jersey Devils,4,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe228c"),Mackenzie Blackwood,8478406,G,29,New Jersey Devils,16,15,0,0,1
ObjectId("5db5c95e3f0b6f443efe228d"),Johnny Boychuk,8470187,D,55,New York Islanders,11,7,1,6,1
ObjectId("5db5c95e3f0b6f443efe228e"),Nick Leddy,8475181,D,2,New York Islanders,15,9,2,7,1
ObjectId("5db5c95e3f0b6f443efe228f"),Scott Mayfield,8476429,D,24,New York Islanders,20,5,3,2,1
ObjectId("5db5c95e3f0b6f443efe2290"),Adam Pelech,8476917,D,3,New York Islanders,21,6,1,5,1
ObjectId("5db5c95e3f0b6f443efe2291"),Ryan Pulock,8477506,D,6,New York Islanders,21,10,3,7,1
ObjectId("5db5c95e3f0b6f443efe2292"),Devon Toews,8478038,D,25,New York Islanders,19,11,2,9,1
ObjectId("5db5c95e3f0b6f443efe2293"),Noah Dobson,8480865,D,8,New York Islanders,5,2,0,2,1
ObjectId("5db5c95e3f0b6f443efe2294"),Leo Komarov,8473463,F,47,New York Islanders,7,3,0,3,1
ObjectId("5db5c95e3f0b6f443efe2295"),Jordan Eberle,8474586,F,7,New York Islanders,9,5,0,5,1
ObjectId("5db5c95e3f0b6f443efe2296"),Andrew Ladd,8471217,F,16,New York Islanders,0,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe2297"),Cal Clutterbuck,8473504,F,15,New York Islanders,17,6,2,4,1
ObjectId("5db5c95e3f0b6f443efe2298"),Derick Brassard,8473544,F,10,New York Islanders,20,16,6,10,2
ObjectId("5db5c95e3f0b6f443efe2299"),Josh Bailey,8474573,F,12,New York Islanders,19,14,7,7,2
ObjectId("5db5c95e3f0b6f443efe229a"),Matt Martin,8474709,F,17,New York Islanders,7,3,2,1,1
ObjectId("5db5c95e3f0b6f443efe229b"),Casey Cizikas,8475231,F,53,New York Islanders,16,7,4,3,1
ObjectId("5db5c95e3f0b6f443efe229c"),Anders Lee,8475314,F,27,New York Islanders,19,10,5,5,1
ObjectId("5db5c95e3f0b6f443efe229d"),Brock Nelson,8475754,F,29,New York Islanders,20,19,8,11,2
ObjectId("5db5c95e3f0b6f443efe229e"),Tom Kuhnhackl,8475832,F,14,New York Islanders,5,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe229f"),Ross Johnston,8477527,F,32,New York Islanders,4,1,1,0,1
ObjectId("5db5c95e3f0b6f443efe22a0"),Michael Dal Colle,8477936,F,28,New York Islanders,14,3,1,2,1
ObjectId("5db5c95e3f0b6f443efe22a1"),Cole Bardreau,8478367,F,34,New York Islanders,7,2,1,1,1
ObjectId("5db5c95e3f0b6f443efe22a2"),Mathew Barzal,8478445,F,13,New York Islanders,22,20,9,11,2
ObjectId("5db5c95e3f0b6f443efe22a3"),Anthony Beauvillier,8478463,F,18,New York Islanders,20,16,8,8,2
ObjectId("5db5c95e3f0b6f443efe22a4"),Oliver Wahlstrom,8480789,F,26,New York Islanders,4,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe22a5"),Thomas Greiss,8471306,G,1,New York Islanders,11,18,0,0,2
ObjectId("5db5c95e3f0b6f443efe22a6"),Semyon Varlamov,8473575,G,40,New York Islanders,10,15,0,0,2
ObjectId("5db5c95e3f0b6f443efe22a7"),Marc Staal,8471686,D,18,New York Rangers,10,2,1,1,1
ObjectId("5db5c95e3f0b6f443efe22a8"),Brendan Smith,8474090,D,42,New York Rangers,9,4,1,3,1
ObjectId("5db5c95e3f0b6f443efe22a9"),Brady Skjei,8476869,D,76,New York Rangers,21,9,3,6,1
ObjectId("5db5c95e3f0b6f443efe22aa"),Jacob Trouba,8476885,D,8,New York Rangers,21,10,3,7,1
ObjectId("5db5c95e3f0b6f443efe22ab"),Tony DeAngelo,8477950,D,77,New York Rangers,22,17,7,10,2
ObjectId("5db5c95e3f0b6f443efe22ac"),Adam Fox,8479323,D,23,New York Rangers,22,11,3,8,1
ObjectId("5db5c95e3f0b6f443efe22ad"),Libor Hajek,8479333,D,25,New York Rangers,18,4,0,4,1
ObjectId("5db5c95e3f0b6f443efe22ae"),Micheal Haley,8474230,F,38,New York Rangers,4,1,1,0,1
ObjectId("5db5c95e3f0b6f443efe22af"),Chris Kreider,8475184,F,20,New York Rangers,22,13,6,7,2
ObjectId("5db5c95e3f0b6f443efe22b0"),Greg McKegg,8475735,F,14,New York Rangers,11,2,1,1,1
ObjectId("5db5c95e3f0b6f443efe22b1"),Jesper Fast,8475855,F,17,New York Rangers,17,8,2,6,1
ObjectId("5db5c95e3f0b6f443efe22b2"),Ryan Strome,8476458,F,16,New York Rangers,22,22,6,16,2
ObjectId("5db5c95e3f0b6f443efe22b3"),Mika Zibanejad,8476459,F,93,New York Rangers,8,11,4,7,3
ObjectId("5db5c95e3f0b6f443efe22b4"),Pavel Buchnevich,8477402,F,89,New York Rangers,21,18,4,14,2
ObjectId("5db5c95e3f0b6f443efe22b5"),Brendan Lemieux,8477962,F,48,New York Rangers,20,9,3,6,1
ObjectId("5db5c95e3f0b6f443efe22b6"),Artemi Panarin,8478550,F,10,New York Rangers,22,30,12,18,3
ObjectId("5db5c95e3f0b6f443efe22b7"),Brett Howden,8479353,F,21,New York Rangers,21,7,3,4,1
ObjectId("5db5c95e3f0b6f443efe22b8"),Lias Andersson,8480072,F,28,New York Rangers,9,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe22b9"),Kaapo Kakko,8481554,F,24,New York Rangers,20,10,6,4,1
ObjectId("5db5c95e3f0b6f443efe22ba"),Henrik Lundqvist,8468685,G,30,New York Rangers,14,12,0,0,1
ObjectId("5db5c95e3f0b6f443efe22bb"),Alexandar Georgiev,8480382,G,40,New York Rangers,10,10,0,0,1
ObjectId("5db5c95e3f0b6f443efe22bc"),Ron Hainsey,8468493,D,81,Ottawa Senators,20,4,1,3,1
ObjectId("5db5c95e3f0b6f443efe22bd"),Cody Goloubef,8474597,D,29,Ottawa Senators,0,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe22be"),Mark Borowiecki,8474697,D,74,Ottawa Senators,22,9,2,7,1
ObjectId("5db5c95e3f0b6f443efe22bf"),Dylan DeMelo,8476331,D,2,Ottawa Senators,12,2,0,2,1
ObjectId("5db5c95e3f0b6f443efe22c0"),Thomas Chabot,8478469,D,72,Ottawa Senators,23,14,2,12,1
ObjectId("5db5c95e3f0b6f443efe22c1"),Nikita Zaitsev,8479458,D,22,Ottawa Senators,22,6,0,6,1
ObjectId("5db5c95e3f0b6f443efe22c2"),Erik Brannstrom,8480073,D,26,Ottawa Senators,18,2,0,2,1
ObjectId("5db5c95e3f0b6f443efe22c3"),Artem Anisimov,8473573,F,51,Ottawa Senators,7,2,2,0,1
ObjectId("5db5c95e3f0b6f443efe22c4"),Colin White,8478400,F,36,Ottawa Senators,16,5,2,3,1
ObjectId("5db5c95e3f0b6f443efe22c5"),Rudolfs Balcers,8478870,F,38,Ottawa Senators,0,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe22c6"),Bobby Ryan,8471676,F,9,Ottawa Senators,9,4,1,3,1
ObjectId("5db5c95e3f0b6f443efe22c7"),Mikkel Boedker,8474571,F,89,Ottawa Senators,4,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe22c8"),Tyler Ennis,8474589,F,63,Ottawa Senators,23,11,6,5,1
ObjectId("5db5c95e3f0b6f443efe22c9"),Jean-Gabriel Pageau,8476419,F,44,Ottawa Senators,24,19,13,6,2
ObjectId("5db5c95e3f0b6f443efe22ca"),Vladislav Namestnikov,8476480,F,90,Ottawa Senators,22,12,6,6,1
ObjectId("5db5c95e3f0b6f443efe22cb"),Chris Tierney,8476919,F,71,Ottawa Senators,23,11,3,8,1
ObjectId("5db5c95e3f0b6f443efe22cc"),Connor Brown,8477015,F,28,Ottawa Senators,20,14,2,12,1
ObjectId("5db5c95e3f0b6f443efe22cd"),Scott Sabourin,8477149,F,49,Ottawa Senators,8,2,1,1,1
ObjectId("5db5c95e3f0b6f443efe22ce"),Anthony Duclair,8477407,F,10,Ottawa Senators,23,15,10,5,2
ObjectId("5db5c95e3f0b6f443efe22cf"),Nick Paul,8477426,F,13,Ottawa Senators,13,8,2,6,1
ObjectId("5db5c95e3f0b6f443efe22d0"),J.C. Beaudin,8478833,F,64,Ottawa Senators,8,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe22d1"),Logan Brown,8479366,F,21,Ottawa Senators,9,5,1,4,1
ObjectId("5db5c95e3f0b6f443efe22d2"),Brady Tkachuk,8480801,F,7,Ottawa Senators,23,14,8,6,2
ObjectId("5db5c95e3f0b6f443efe22d3"),Craig Anderson,8467950,G,41,Ottawa Senators,13,9,0,1,1
ObjectId("5db5c95e3f0b6f443efe22d4"),Anders Nilsson,8475195,G,31,Ottawa Senators,12,14,0,0,1
ObjectId("5db5c95e3f0b6f443efe22d5"),Matt Niskanen,8471702,D,15,Philadelphia Flyers,20,9,2,7,1
ObjectId("5db5c95e3f0b6f443efe22d6"),Justin Braun,8474027,D,61,Philadelphia Flyers,24,4,0,4,1
ObjectId("5db5c95e3f0b6f443efe22d7"),Shayne Gostisbehere,8476906,D,53,Philadelphia Flyers,16,6,1,5,1
ObjectId("5db5c95e3f0b6f443efe22d8"),Robert Hagg,8477462,D,8,Philadelphia Flyers,14,2,0,2,1
ObjectId("5db5c95e3f0b6f443efe22d9"),Samuel Morin,8477502,D,55,Philadelphia Flyers,0,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe22da"),Travis Sanheim,8477948,D,6,Philadelphia Flyers,23,7,2,5,1
ObjectId("5db5c95e3f0b6f443efe22db"),Ivan Provorov,8478500,D,9,Philadelphia Flyers,24,14,5,9,1
ObjectId("5db5c95e3f0b6f443efe22dc"),Chris Stewart,8473485,F,44,Philadelphia Flyers,4,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe22dd"),Claude Giroux,8473512,F,28,Philadelphia Flyers,22,17,7,10,2
ObjectId("5db5c95e3f0b6f443efe22de"),James van Riemsdyk,8474037,F,25,Philadelphia Flyers,16,9,4,5,1
ObjectId("5db5c95e3f0b6f443efe22df"),Jakub Voracek,8474161,F,93,Philadelphia Flyers,24,16,6,10,2
ObjectId("5db5c95e3f0b6f443efe22e0"),Tyler Pitlick,8475752,F,18,Philadelphia Flyers,15,3,1,2,1
ObjectId("5db5c95e3f0b6f443efe22e1"),Kevin Hayes,8475763,F,13,Philadelphia Flyers,23,10,6,4,1
ObjectId("5db5c95e3f0b6f443efe22e2"),Sean Couturier,8476461,F,14,Philadelphia Flyers,24,18,7,11,2
ObjectId("5db5c95e3f0b6f443efe22e3"),Scott Laughton,8476872,F,21,Philadelphia Flyers,8,3,0,3,1
ObjectId("5db5c95e3f0b6f443efe22e4"),Michael Raffl,8477290,F,12,Philadelphia Flyers,22,7,3,4,1
ObjectId("5db5c95e3f0b6f443efe22e5"),Oskar Lindblom,8478067,F,23,Philadelphia Flyers,20,16,9,7,2
ObjectId("5db5c95e3f0b6f443efe22e6"),Travis Konecny,8478439,F,11,Philadelphia Flyers,23,23,8,15,2
ObjectId("5db5c95e3f0b6f443efe22e7"),Mikhail Vorobyev,8478844,F,24,Philadelphia Flyers,2,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe22e8"),Joel Farabee,8480797,F,49,Philadelphia Flyers,17,6,2,4,1
ObjectId("5db5c95e3f0b6f443efe22e9"),Brian Elliott,8470880,G,37,Philadelphia Flyers,12,10,0,0,1
ObjectId("5db5c95e3f0b6f443efe22ea"),Carter Hart,8479394,G,79,Philadelphia Flyers,16,15,0,0,1
ObjectId("5db5c95e3f0b6f443efe22eb"),Brian Dumoulin,8475208,D,8,Pittsburgh Penguins,18,7,1,6,1
ObjectId("5db5c95e3f0b6f443efe22ec"),Jack Johnson,8471677,D,3,Pittsburgh Penguins,19,4,1,3,1
ObjectId("5db5c95e3f0b6f443efe22ed"),Kris Letang,8471724,D,58,Pittsburgh Penguins,15,12,4,8,2
ObjectId("5db5c95e3f0b6f443efe22ee"),Justin Schultz,8474602,D,4,Pittsburgh Penguins,18,8,2,6,1
ObjectId("5db5c95e3f0b6f443efe22ef"),Chad Ruhwedel,8477244,D,2,Pittsburgh Penguins,0,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe22f0"),Marcus Pettersson,8477969,D,28,Pittsburgh Penguins,21,7,1,6,1
ObjectId("5db5c95e3f0b6f443efe22f1"),John Marino,8478507,D,6,Pittsburgh Penguins,22,9,2,7,1
ObjectId("5db5c95e3f0b6f443efe22f2"),Juuso Riikola,8480945,D,50,Pittsburgh Penguins,5,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe22f3"),Evgeni Malkin,8471215,F,71,Pittsburgh Penguins,13,14,4,10,2
ObjectId("5db5c95e3f0b6f443efe22f4"),Nick Bjugstad,8475760,F,27,Pittsburgh Penguins,6,1,1,0,1
ObjectId("5db5c95e3f0b6f443efe22f5"),Bryan Rust,8475810,F,17,Pittsburgh Penguins,12,13,8,5,3
ObjectId("5db5c95e3f0b6f443efe22f6"),Alex Galchenyuk,8476851,F,18,Pittsburgh Penguins,15,9,1,8,1
ObjectId("5db5c95e3f0b6f443efe22f7"),Sidney Crosby,8471675,F,87,Pittsburgh Penguins,16,17,5,12,2
ObjectId("5db5c95e3f0b6f443efe22f8"),Patric Hornqvist,8471887,F,72,Pittsburgh Penguins,15,11,6,5,2
ObjectId("5db5c95e3f0b6f443efe22f9"),Teddy Blueger,8476927,F,53,Pittsburgh Penguins,20,6,2,4,1
ObjectId("5db5c95e3f0b6f443efe22fa"),Joseph Blandisi,8477010,F,36,Pittsburgh Penguins,7,2,1,1,1
ObjectId("5db5c95e3f0b6f443efe22fb"),Jake Guentzel,8477404,F,59,Pittsburgh Penguins,24,21,12,9,3
ObjectId("5db5c95e3f0b6f443efe22fc"),Jared McCann,8477955,F,19,Pittsburgh Penguins,22,16,9,7,2
ObjectId("5db5c95e3f0b6f443efe22fd"),Sam Lafferty,8478043,F,37,Pittsburgh Penguins,16,8,3,5,1
ObjectId("5db5c95e3f0b6f443efe22fe"),Dominik Simon,8478866,F,12,Pittsburgh Penguins,23,11,2,9,1
ObjectId("5db5c95e3f0b6f443efe22ff"),Brandon Tanev,8479293,F,13,Pittsburgh Penguins,23,12,5,7,1
ObjectId("5db5c95e3f0b6f443efe2300"),Zach Aston-Reese,8479944,F,46,Pittsburgh Penguins,23,6,3,3,1
ObjectId("5db5c95e3f0b6f443efe2301"),Adam Johnson,8480341,F,47,Pittsburgh Penguins,7,2,1,1,1
ObjectId("5db5c95e3f0b6f443efe2302"),Dominik Kahun,8480946,F,24,Pittsburgh Penguins,23,14,6,8,2
ObjectId("5db5c95e3f0b6f443efe2303"),Matt Murray,8476899,G,30,Pittsburgh Penguins,14,20,0,1,2
ObjectId("5db5c95e3f0b6f443efe2304"),Tristan Jarry,8477465,G,35,Pittsburgh Penguins,7,8,0,0,1
ObjectId("5db5c95e3f0b6f443efe2305"),Dalton Prout,8474774,D,5,San Jose Sharks,1,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe2306"),Jacob Middleton,8478136,D,67,San Jose Sharks,1,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe2307"),Brent Burns,8470613,D,88,San Jose Sharks,24,21,5,16,2
ObjectId("5db5c95e3f0b6f443efe2308"),Marc-Edouard Vlasic,8471709,D,44,San Jose Sharks,23,6,3,3,1
ObjectId("5db5c95e3f0b6f443efe2309"),Erik Karlsson,8474578,D,65,San Jose Sharks,24,18,3,15,2
ObjectId("5db5c95e3f0b6f443efe230a"),Brenden Dillon,8475455,D,4,San Jose Sharks,25,4,0,4,1
ObjectId("5db5c95e3f0b6f443efe230b"),Tim Heed,8475841,D,72,San Jose Sharks,13,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe230c"),Trevor Carrick,8476953,D,47,San Jose Sharks,3,0,0,0,1
ObjectId("5db5c95e3f0b6f443efe230d"),Mario Ferraro,8479983,D,38,San Jose Sharks,21,3,0,3,1
